date,title,source,link
"Tue, 23 May 2023 10:01:03 GMT",Biden seals 3 deals in Pacific islands as U.S. competes with China,Axios,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmF4aW9zLmNvbS8yMDIzLzA1LzIyL3VzLWRlYWxzLXBhcHVhLW5ldy1ndWluZWEtbWljcm9uZXNpYS1wYWxhddIBAA?oc=5
"Mon, 22 May 2023 16:36:54 GMT",Nigeria commissions Dangote Refinery in bid to end fuel imports,Al Jazeera English,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vZWNvbm9teS8yMDIzLzUvMjIvbmlnZXJpYS1jb21taXNzaW9ucy1kYW5nb3RlLXJlZmluZXJ5LXNlZWtzLXRvLWVuZC1mdWVsLWltcG9ydHPSAW5odHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9lY29ub215LzIwMjMvNS8yMi9uaWdlcmlhLWNvbW1pc3Npb25zLWRhbmdvdGUtcmVmaW5lcnktc2Vla3MtdG8tZW5kLWZ1ZWwtaW1wb3J0cw?oc=5
"Tue, 23 May 2023 08:10:55 GMT",Saudi Energy Minister Tells Oil Speculators to 'Watch Out',Bloomberg,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTIzL3NhdWRpLWVuZXJneS1taW5pc3Rlci10ZWxscy1vaWwtc3BlY3VsYXRvcnMtdG8td2F0Y2gtb3V00gEA?oc=5
"Tue, 23 May 2023 09:38:00 GMT",Stock futures slip as Wall Street watches for debt ceiling progress: Live updates,CNBC,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDUvMjIvc3RvY2stbWFya2V0LXRvZGF5LWxpdmUtdXBkYXRlcy5odG1s0gFIaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMDUvMjIvc3RvY2stbWFya2V0LXRvZGF5LWxpdmUtdXBkYXRlcy5odG1s?oc=5
"Tue, 23 May 2023 06:34:03 GMT",Yellen triples down on debt ceiling deadline,Axios,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmF4aW9zLmNvbS8yMDIzLzA1LzIyL3llbGxlbi1kZWJ0LWNlaWxpbmctZGVhZGxpbmUteGRhdGUtanVuZdIBAA?oc=5
"Mon, 22 May 2023 22:03:46 GMT","Billionaire Jeff Bezos Engaged To Partner Lauren Sánchez, Report Says",Forbes,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvbW9sbHlib2hhbm5vbi8yMDIzLzA1LzIyL2JpbGxpb25haXJlLWplZmYtYmV6b3MtZW5nYWdlZC10by1wYXJ0bmVyLWxhdXJlbi1zbmNoZXotcmVwb3J0LXNheXMv0gF-aHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9tb2xseWJvaGFubm9uLzIwMjMvMDUvMjIvYmlsbGlvbmFpcmUtamVmZi1iZXpvcy1lbmdhZ2VkLXRvLXBhcnRuZXItbGF1cmVuLXNuY2hlei1yZXBvcnQtc2F5cy9hbXAv?oc=5
"Mon, 22 May 2023 19:45:00 GMT",A Day One Patch For Final Fantasy 16 Is Not Currently Planned,Game Informer,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmdhbWVpbmZvcm1lci5jb20vZXhjbHVzaXZlLWZlYXR1cmUvMjAyMy8wNS8yMi9hLWRheS1vbmUtcGF0Y2gtZm9yLWZpbmFsLWZhbnRhc3ktMTYtaXMtbm90LWN1cnJlbnRseS1wbGFubmVk0gEA?oc=5
"Mon, 22 May 2023 21:54:54 GMT",SteelSeries Gaming Speakers And Headsets Are On Sale For Amazon Gaming Week,GameSpot,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmdhbWVzcG90LmNvbS9hcnRpY2xlcy9zdGVlbHNlcmllcy1nYW1pbmctc3BlYWtlcnMtYW5kLWhlYWRzZXRzLWFyZS1vbi1zYWxlLWZvci1hbWF6b24tZ2FtaW5nLXdlZWsvMTEwMC02NTE0NDQ0L9IBf2h0dHBzOi8vd3d3LmdhbWVzcG90LmNvbS9hbXAtYXJ0aWNsZXMvc3RlZWxzZXJpZXMtZ2FtaW5nLXNwZWFrZXJzLWFuZC1oZWFkc2V0cy1hcmUtb24tc2FsZS1mb3ItYW1hem9uLWdhbWluZy13ZWVrLzExMDAtNjUxNDQ0NC8?oc=5
"Tue, 23 May 2023 08:17:56 GMT",Push 3 takes Ableton Live standalone: DAW can now be used with or without a computer,MusicRadar,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3Lm11c2ljcmFkYXIuY29tL25ld3MvYWJsZXRvbi1wdXNoLTMtc3RhbmRhbG9uZS1saXZl0gEA?oc=5
"Mon, 22 May 2023 17:40:39 GMT",Twitter bug seems to be randomly restoring deleted tweets,Engadget,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS90d2l0dGVyLWJ1Zy1zZWVtcy10by1iZS1yYW5kb21seS1yZXN0b3JpbmctZGVsZXRlZC10d2VldHMtMTczOTAwMzMwLmh0bWzSAWVodHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wL3R3aXR0ZXItYnVnLXNlZW1zLXRvLWJlLXJhbmRvbWx5LXJlc3RvcmluZy1kZWxldGVkLXR3ZWV0cy0xNzM5MDAzMzAuaHRtbA?oc=5
"Mon, 22 May 2023 23:13:00 GMT",‘The Idol’ Gets Five-Minute Standing Ovation After Cannes Premiere; Sam Levinson Gets Emotional In Speech,Deadline,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjMvMDUvdGhlLWlkb2wtbGlseS1jYW5uZXMtc3RhbmRpbmctb3ZhdGlvbi1zYW0tbGV2aW5zb24tbGlseS1yb3NlLWRlcHAtdGhlLXdlZWtuZC0xMjM1Mzc1Mzk5L9IBeWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjMvMDUvdGhlLWlkb2wtbGlseS1jYW5uZXMtc3RhbmRpbmctb3ZhdGlvbi1zYW0tbGV2aW5zb24tbGlseS1yb3NlLWRlcHAtdGhlLXdlZWtuZC0xMjM1Mzc1Mzk5L2FtcC8?oc=5
"Tue, 23 May 2023 06:31:51 GMT","Actor Ray Stevenson, Volstagg in 'Thor,' dies at 58",The Washington Post,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9vYml0dWFyaWVzLzIwMjMvMDUvMjMvcmF5LXN0ZXZlbnNvbi1kZWF0aC10aG9yLXZvbHN0YWdnL9IBAA?oc=5
"Tue, 23 May 2023 05:06:34 GMT","Horoscope for Tuesday, 5/23/23 by Christopher Renstrom",SFGATE,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnNmZ2F0ZS5jb20vaG9yb3Njb3BlL2FydGljbGUvaG9yb3Njb3BlLXR1ZXNkYXktNS0yMy0yMy1jaHJpc3RvcGhlci1yZW5zdHJvbS0xODExMTU5Ny5waHDSAQA?oc=5
"Mon, 22 May 2023 20:45:44 GMT","Scorsese, DiCaprio, De Niro unite in 'Killers of the Flower Moon'",Military Times,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5taWxpdGFyeXRpbWVzLmNvbS9vZmYtZHV0eS9taWxpdGFyeS1jdWx0dXJlLzIwMjMvMDUvMjIvc2NvcnNlc2UtZGljYXByaW8tZGUtbmlyby11bml0ZS1pbi1raWxsZXJzLW9mLXRoZS1mbG93ZXItbW9vbi_SAQA?oc=5
"Tue, 23 May 2023 07:52:00 GMT",Denver Nuggets Sweep Lakers to Head to NBA Finals,The New York Times,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDUvMjIvc3BvcnRzL2Jhc2tldGJhbGwvZGVudmVyLW51Z2dldHMtbG9zLWFuZ2VsZXMtbGFrZXJzLXN3ZWVwLmh0bWzSAQA?oc=5
"Tue, 23 May 2023 04:14:00 GMT",NFL’s controversial 'Thursday Night Football' flex scheduling decision reflects league's priorities,Yahoo Sports,https://news.google.com/rss/articles/CBMihwFodHRwczovL3Nwb3J0cy55YWhvby5jb20vbmZscy1jb250cm92ZXJzaWFsLXRodXJzZGF5LW5pZ2h0LWZvb3RiYWxsLWZsZXgtc2NoZWR1bGluZy1kZWNpc2lvbi1yZWZsZWN0cy1sZWFndWVzLXByaW9yaXRpZXMtMDQxNDMzODE3Lmh0bWzSAY8BaHR0cHM6Ly9zcG9ydHMueWFob28uY29tL2FtcGh0bWwvbmZscy1jb250cm92ZXJzaWFsLXRodXJzZGF5LW5pZ2h0LWZvb3RiYWxsLWZsZXgtc2NoZWR1bGluZy1kZWNpc2lvbi1yZWZsZWN0cy1sZWFndWVzLXByaW9yaXRpZXMtMDQxNDMzODE3Lmh0bWw?oc=5
"Tue, 23 May 2023 10:41:00 GMT",Los Angeles Dodgers reverse course and re-invite drag charity group to Pride Night event,CNN,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wNS8yMy91cy9kb2RnZXJzLWRyYWctcHJpZGUtYXBvbG9neS1zaXN0ZXJzLW9mLXBlcnBldHVhbC1pbmR1bGdlbmNlL2luZGV4Lmh0bWzSAWtodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzA1LzIzL3VzL2RvZGdlcnMtZHJhZy1wcmlkZS1hcG9sb2d5LXNpc3RlcnMtb2YtcGVycGV0dWFsLWluZHVsZ2VuY2UvaW5kZXguaHRtbA?oc=5
"Tue, 23 May 2023 00:38:18 GMT",Oakland A’s announcer fired after use of racial slur on broadcast,The Hill,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vdGhlaGlsbC5jb20vY2hhbmdpbmctYW1lcmljYS9yZXNwZWN0L2VxdWFsaXR5LzQwMTYwODgtb2FrbGFuZC1hcy1hbm5vdW5jZXItZmlyZWQtYWZ0ZXItdXNlLW9mLXJhY2lhbC1zbHVyLW9uLWJyb2FkY2FzdC_SAYMBaHR0cHM6Ly90aGVoaWxsLmNvbS9jaGFuZ2luZy1hbWVyaWNhL3Jlc3BlY3QvZXF1YWxpdHkvNDAxNjA4OC1vYWtsYW5kLWFzLWFubm91bmNlci1maXJlZC1hZnRlci11c2Utb2YtcmFjaWFsLXNsdXItb24tYnJvYWRjYXN0L2FtcC8?oc=5
"Tue, 23 May 2023 09:01:23 GMT",Adolescence is a time of breathtaking development and opportunity for the brain. : Shots,Health News,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3Lm5wci5vcmcvc2VjdGlvbnMvaGVhbHRoLXNob3RzLzIwMjMvMDUvMjMvMTE3NTg1OTM5OC93YW50LXRvLXVuZGVyc3RhbmQteW91ci1hZG9sZXNjZW50LWdldC10by1rbm93LXRoZWlyLWJyYWlu0gEA?oc=5
"Tue, 23 May 2023 02:48:39 GMT",Incredibly Detailed Close-Ups of the Sun From Earth's Most Powerful Solar Telescope,SciTechDaily,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vc2NpdGVjaGRhaWx5LmNvbS9pbmNyZWRpYmx5LWRldGFpbGVkLWNsb3NlLXVwcy1vZi10aGUtc3VuLWZyb20tZWFydGhzLW1vc3QtcG93ZXJmdWwtc29sYXItdGVsZXNjb3BlL9IBAA?oc=5
"Mon, 22 May 2023 19:30:49 GMT",Record-breaking Tonga undersea volcano disrupted satellite signals in space,Space.com,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnNwYWNlLmNvbS90b25nYS11bmRlcnNlYS12b2xjYW5vLWVydXB0aW9uLWRpc3J1cHRlZC1zYXRlbGxpdGUtc2lnbmFsc9IBAA?oc=5
"Mon, 22 May 2023 12:27:17 GMT",Gravitational wave detector LIGO is back online after 3 years of upgrades – how the world's most sensitive yardstick reveals secrets of the universe,The Conversation,https://news.google.com/rss/articles/CBMitAFodHRwczovL3RoZWNvbnZlcnNhdGlvbi5jb20vZ3Jhdml0YXRpb25hbC13YXZlLWRldGVjdG9yLWxpZ28taXMtYmFjay1vbmxpbmUtYWZ0ZXItMy15ZWFycy1vZi11cGdyYWRlcy1ob3ctdGhlLXdvcmxkcy1tb3N0LXNlbnNpdGl2ZS15YXJkc3RpY2stcmV2ZWFscy1zZWNyZXRzLW9mLXRoZS11bml2ZXJzZS0yMDQzMznSAQA?oc=5
"Mon, 22 May 2023 22:39:58 GMT",A new nasal spray to reverse fentanyl and other opioid overdoses gets FDA approval,NPR,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMy8wNS8yMi8xMTc3NTk3MzE5L2ZkYS1hcHByb3Zlcy1vcHZlZS1uYWxveG9uZS1vcGlvaWQtb3ZlcmRvc2UtZmVudGFueWzSAQA?oc=5
"Mon, 22 May 2023 23:52:54 GMT","Chronic pain's brain 'signature' could improve diagnosis, treatment",USA TODAY,https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3RvcnkvbmV3cy9uYXRpb24vMjAyMy8wNS8yMi9jaHJvbmljLXBhaW5zLWJyYWluLXNpZ25hdHVyZS1jb3VsZC1pbXByb3ZlLWRpYWdub3Npcy10cmVhdG1lbnQvNzAyNDU0NzgwMDcv0gEA?oc=5
"Mon, 22 May 2023 21:15:43 GMT","Smoking cannabis doesn’t carry same risks as tobacco, UCLA study finds",KTLA Los Angeles,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8va3RsYS5jb20vbmV3cy9sb2NhbC1uZXdzL3Ntb2tpbmctY2FubmFiaXMtZG9lc250LWNhcnJ5LXNhbWUtcmlza3MtYXMtdG9iYWNjby11Y2xhLXN0dWR5L9IBZGh0dHBzOi8va3RsYS5jb20vbmV3cy9sb2NhbC1uZXdzL3Ntb2tpbmctY2FubmFiaXMtZG9lc250LWNhcnJ5LXNhbWUtcmlza3MtYXMtdG9iYWNjby11Y2xhLXN0dWR5L2FtcC8?oc=5
"Sun, 21 May 2023 19:17:08 GMT",Animal health body urges bird flu vaccination to avoid pandemic,KSL.com,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmtzbC5jb20vYXJ0aWNsZS81MDY0OTYzNC9hbmltYWwtaGVhbHRoLWJvZHktdXJnZXMtYmlyZC1mbHUtdmFjY2luYXRpb24tdG8tYXZvaWQtcGFuZGVtaWPSAQA?oc=5
"Wed, 24 May 2023 18:35:33 GMT","Florida Gov. Ron DeSantis joins presidential race, taking on Trump for GOP nomination",CNBC,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDUvMjQvcm9uLWRlc2FudGlzLWxhdW5jaGVzLXdoaXRlLWhvdXNlLWJpZC5odG1s0gFOaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMDUvMjQvcm9uLWRlc2FudGlzLWxhdW5jaGVzLXdoaXRlLWhvdXNlLWJpZC5odG1s?oc=5
"Wed, 24 May 2023 21:22:30 GMT","McCarthy says debt ceiling standoff 'not my fault,' as White House warns of economic risks",The Associated Press,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2RlYnQtbGltaXQtY29uZ3Jlc3MtbWNjYXJ0aHktYmlkZW4tYnVkZ2V0LTg1MDI3M2M3M2VkNDBmNGFkMDAyZmEyNGU1MGY5YjQw0gEA?oc=5
"Wed, 24 May 2023 14:45:55 GMT","Ukraine updates: Wagner Group reports 10,000 prisoner deaths – DW – 05/24/2023",DW (English),https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmR3LmNvbS9lbi91a3JhaW5lLXVwZGF0ZXMtd2FnbmVyLWdyb3VwLXJlcG9ydHMtMTAwMDAtcHJpc29uZXItZGVhdGhzL2EtNjU3MTQ3NzbSAQA?oc=5
"Wed, 24 May 2023 20:12:00 GMT",Amanda Gorman is ‘gutted’ by school district’s decision to restrict her poem after a parent complained it contained ‘hate messages’,CNN,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wNS8yMy91cy9taWFtaS1zY2hvb2wtbW92ZXMtYmlkZW4taW5hdWd1cmFsLXBvZW0vaW5kZXguaHRtbNIBWGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjMvMDUvMjMvdXMvbWlhbWktc2Nob29sLW1vdmVzLWJpZGVuLWluYXVndXJhbC1wb2VtL2luZGV4Lmh0bWw?oc=5
"Wed, 24 May 2023 15:28:48 GMT","Harris, Cornyn mark Uvalde anniversary with opposing views on gun legislation",POLITICO,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjMvMDUvMjQvdXZhbGRlLXRleGFzLXNob290aW5nLWFubml2ZXJzYXJ5LTAwMDk4NTQ30gEA?oc=5
"Wed, 24 May 2023 14:13:43 GMT",Murdaugh Co-Conspirator Cory Fleming to Plead Guilty to Federal Conspiracy Charge,Department of Justice,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lmp1c3RpY2UuZ292L3VzYW8tc2MvcHIvbXVyZGF1Z2gtY28tY29uc3BpcmF0b3ItY29yeS1mbGVtaW5nLXBsZWFkLWd1aWx0eS1mZWRlcmFsLWNvbnNwaXJhY3ktY2hhcmdl0gEA?oc=5
"Wed, 24 May 2023 17:13:49 GMT",House investigators allege years of misconduct by AG Ken Paxton,KXAN.com,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3Lmt4YW4uY29tL25ld3MvdGV4YXMtcG9saXRpY3MvaG91c2UtaW52ZXN0aWdhdG9ycy1hbGxlZ2UteWVhcnMtb2YtbWlzY29uZHVjdC1ieS1hZy1rZW4tcGF4dG9uL9IBbWh0dHBzOi8vd3d3Lmt4YW4uY29tL25ld3MvdGV4YXMtcG9saXRpY3MvaG91c2UtaW52ZXN0aWdhdG9ycy1hbGxlZ2UteWVhcnMtb2YtbWlzY29uZHVjdC1ieS1hZy1rZW4tcGF4dG9uL2FtcC8?oc=5
"Wed, 24 May 2023 10:13:19 GMT",South Carolina approves six-week abortion ban for most women,BBC,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNjU2OTQ1OTjSATVodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtdXMtY2FuYWRhLTY1Njk0NTk4LmFtcA?oc=5
"Wed, 24 May 2023 20:57:01 GMT","Driver of U-Haul that rammed White House gate is not a U.S. citizen, prosecutors say",NBC News,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy9kcml2ZXItdS1oYXVsLXJhbW1lZC13aGl0ZS1ob3VzZS1nYXRlLW5vdC11cy1jaXRpemVuLXByb3NlY3V0b3JzLXNheS1yY25hODYwNDXSASpodHRwczovL3d3dy5uYmNuZXdzLmNvbS9uZXdzL2FtcC9yY25hODYwNDU?oc=5
"Wed, 24 May 2023 12:53:00 GMT",Joe Biden to call on Republicans to ‘help stop epidemic of gun violence’ on anniversary of Uvalde school shooting – live,The Guardian US,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzL2xpdmUvMjAyMy9tYXkvMjQvcm9uLWRlc2FudGlzLTIwMjQtbXVzay10d2l0dGVyLWRlYnQtY2VpbGluZy1kZWFkbGluZS1saXZlLXVwZGF0ZXPSAXZodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vdXMtbmV3cy9saXZlLzIwMjMvbWF5LzI0L3Jvbi1kZXNhbnRpcy0yMDI0LW11c2stdHdpdHRlci1kZWJ0LWNlaWxpbmctZGVhZGxpbmUtbGl2ZS11cGRhdGVz?oc=5
"Wed, 24 May 2023 17:02:55 GMT",Ukraine and Russia trade places in battle for Bakhmut,Al Jazeera English,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzUvMjQvdWtyYWluZS1ydXNzaWEtdHJhZGUtcGxhY2VzLWluLWJhdHRsZS1mb3ItYmFraG11dNIBAA?oc=5
"Wed, 24 May 2023 20:25:18 GMT",95-year-old Australian woman dies after police shoot her with stun gun; officer faces charges,ABC News,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvYXVzdHJhbGlhbi1wb2xpY2Utb2ZmaWNlci1mYWNlcy1jaGFyZ2VzLWFmdGVyLXNob2NraW5nLTk1LTk5NTYyOTEw0gF1aHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvYXVzdHJhbGlhbi1wb2xpY2Utb2ZmaWNlci1mYWNlcy1jaGFyZ2VzLWFmdGVyLXNob2NraW5nLTk1LTk5NTYyOTEw?oc=5
"Wed, 24 May 2023 14:54:09 GMT",Chinese citizens sue Florida over property ownership ban,USA TODAY,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3RvcnkvbmV3cy93b3JsZC8yMDIzLzA1LzI0L2Zsb3JpZGEtc3VlZC1mb3ItYmFubmluZy1jaGluZXNlLWNpdGl6ZW5zLWZyb20tb3duaW5nLXByb3BlcnR5LzcwMjUxMDUyMDA3L9IBAA?oc=5
"Wed, 24 May 2023 15:17:49 GMT",A Paralyzed Man Can Walk Naturally Again With Brain and Spine Implants,The New York Times,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDUvMjQvc2NpZW5jZS9wYXJhbHlzaXMtYnJhaW4taW1wbGFudHMtYWkuaHRtbNIBAA?oc=5
"Wed, 24 May 2023 15:45:06 GMT","Target becomes latest company to suffer backlash for LGBTQ+ support, pulls some Pride month clothing",The Associated Press,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3RhcmdldC1wcmlkZS1sZ2J0cS00YmM5ZGU2MzM5Zjg2NzQ4YmNiOGE0NTNkN2I5YWNmMNIBAA?oc=5
"Wed, 24 May 2023 20:08:00 GMT",Netflix Stock Rises As Video Streamer Steps Up Crackdown On Freeloaders,Investor's Business Daily,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L25ldGZsaXgtc3RvY2stcmlzZXMtYXMtdmlkZW8tc3RyZWFtZXItc3RlcHMtdXAtY3JhY2tkb3duLW9uLWZyZWVsb2FkZXJzL9IBAA?oc=5
"Wed, 24 May 2023 16:57:00 GMT",Kohl's rises on surprise profit as CEO's turnaround plan shows effect,Reuters,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL3JldGFpbC1jb25zdW1lci9rb2hscy1taXNzZXMtc2FsZXMtZXN0aW1hdGVzLWFtaWQtd2Vhay1kZW1hbmQtMjAyMy0wNS0yNC_SAQA?oc=5
"Wed, 24 May 2023 20:07:16 GMT",Citigroup abandons long-planned sale of Banamex to pursue IPO,Financial Times,https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2ZjYmYwNzM3LWFjZjgtNDcwYy05ZTljLWQ4ZWFlNGE4ZTk5NtIBAA?oc=5
"Wed, 24 May 2023 19:11:42 GMT",PlayStation Showcase 2023: all the news from Sony's big gaming event,The Verge,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzUvMjQvMjM3MzQ0Njkvc29ueS1wbGF5c3RhdGlvbi1zaG93Y2FzZS0yMDIzLW5ld3MtYW5ub3VuY2VtZW50c9IBAA?oc=5
"Wed, 24 May 2023 12:00:00 GMT",Apple WWDC 2023: Everything We Expect at the June 5 Event,CNET,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvbW9iaWxlL2FwcGxlLXd3ZGMtMjAyMy1ldmVyeXRoaW5nLXdlLWV4cGVjdC1hdC10aGUtanVuZS01LWV2ZW50L9IBXmh0dHBzOi8vd3d3LmNuZXQuY29tL2dvb2dsZS1hbXAvbmV3cy9hcHBsZS13d2RjLTIwMjMtZXZlcnl0aGluZy13ZS1leHBlY3QtYXQtdGhlLWp1bmUtNS1ldmVudC8?oc=5
"Wed, 24 May 2023 00:10:26 GMT",Copilots and Plugins | Yusuf Mehdi at Microsoft Build 2023,Microsoft,https://news.google.com/rss/articles/CCAiC2d5U2xVUEpNcjQwmAEB?oc=5
"Wed, 24 May 2023 13:01:33 GMT",AMD’s RX 7600 graphics card promises smooth 1080p gaming for lower $269 price,Engadget,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS9hbWRzLXJ4LTc2MDAtZ3JhcGhpY3MtY2FyZC1wcm9taXNlcy1zbW9vdGgtMTA4MHAtZ2FtaW5nLWZvci1sb3dlci0yNjktcHJpY2UtMTMwMDI0MDEyLmh0bWzSAXdodHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wL2FtZHMtcngtNzYwMC1ncmFwaGljcy1jYXJkLXByb21pc2VzLXNtb290aC0xMDgwcC1nYW1pbmctZm9yLWxvd2VyLTI2OS1wcmljZS0xMzAwMjQwMTIuaHRtbA?oc=5
"Wed, 24 May 2023 21:11:00 GMT",Tina Turner: legendary rock’n’roll singer dies aged 83,The Guardian,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9tdXNpYy8yMDIzL21heS8yNC90aW5hLXR1cm5lci1sZWdlbmRhcnktcm9ja25yb2xsLXNpbmdlci1kaWVzLWFnZWQtODPSAWFodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vbXVzaWMvMjAyMy9tYXkvMjQvdGluYS10dXJuZXItbGVnZW5kYXJ5LXJvY2tucm9sbC1zaW5nZXItZGllcy1hZ2VkLTgz?oc=5
"Wed, 24 May 2023 20:29:00 GMT",Rita Wilson says awkward moment on Cannes red carpet with Tom Hanks isn’t what it looks like,CNN,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wNS8yNC9lbnRlcnRhaW5tZW50L3JpdGEtd2lsc29uLXRvbS1oYW5rcy1jYW5uZXMvaW5kZXguaHRtbNIBWGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjMvMDUvMjQvZW50ZXJ0YWlubWVudC9yaXRhLXdpbHNvbi10b20taGFua3MtY2FubmVzL2luZGV4Lmh0bWw?oc=5
"Wed, 24 May 2023 18:09:38 GMT",Rapper Fetty Wap sentenced to 6 years in prison for drug trafficking scheme,NBC News,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy9yYXBwZXItZmV0dHktd2FwLXNlbnRlbmNlZC02LXllYXJzLXByaXNvbi1kcnVnLXRyYWZmaWNraW5nLXNjaGVtZS1yY25hODYwNTDSASpodHRwczovL3d3dy5uYmNuZXdzLmNvbS9uZXdzL2FtcC9yY25hODYwNTA?oc=5
